iter	F1	Logloss
0	0.5572868928	0.6866524046
1	0.5331185826	0.6798439851
2	0.5366049879	0.672998989
3	0.5363984674	0.6672399714
4	0.5492654261	0.6619073774
5	0.5414497397	0.6572170857
6	0.5449851043	0.6521633769
7	0.5475619504	0.6459841083
8	0.5419722901	0.6415564079
9	0.5378151261	0.6375444687
10	0.5382564103	0.6340335409
11	0.5361247947	0.6307437539
12	0.5362259517	0.6274009877
13	0.5410903173	0.6248150448
14	0.5428802589	0.6221109833
15	0.5421393841	0.6195770895
16	0.5390704283	0.6173359371
17	0.5373498881	0.6150869199
18	0.5368141954	0.6125534364
19	0.5388728918	0.6091202694
20	0.5374485597	0.6060292249
21	0.535699546	0.6039530731
22	0.5356407087	0.6005585022
23	0.537510305	0.5980021513
24	0.5371287129	0.5963361616
25	0.535699546	0.5945197247
26	0.5391411547	0.5936102599
27	0.5396760303	0.5915584904
28	0.5390304026	0.5900257525
29	0.5435939419	0.5891696993
30	0.5444512569	0.5881172814
31	0.5422895761	0.5867461003
32	0.5434827092	0.5855488722
33	0.5419143267	0.5843182122
34	0.5445625511	0.5831408757
35	0.5439672802	0.5823415191
36	0.5458996328	0.5815977842
37	0.5441176471	0.5811612175
38	0.546122449	0.5798997436
39	0.5439672802	0.5787147486
40	0.5452687513	0.5775901018
41	0.5443400082	0.5770713188
42	0.5476772616	0.5764732056
43	0.5468622657	0.5757058671
44	0.5463454471	0.5746907521
45	0.5463812436	0.573919297
46	0.547119886	0.5732954142
47	0.5457137039	0.5727616895
48	0.5468972533	0.5722533132
49	0.5475996745	0.5714305749
50	0.5521994729	0.5702432998
51	0.5547681717	0.5695329248
52	0.5548805184	0.5689495266
53	0.554158215	0.56816516
54	0.5539334955	0.5676083282
55	0.5540704739	0.567116313
56	0.5578011318	0.5666033501
57	0.5558252427	0.5660926859
58	0.5560719337	0.5653570548
59	0.5580456289	0.5649637631
60	0.5595646039	0.5645652649
61	0.5594518339	0.5640339557
62	0.5588709677	0.5617179866
63	0.5590964098	0.5605724874
64	0.560370893	0.5600665073
65	0.5601450735	0.5596850237
66	0.5618836788	0.5592130297
67	0.5643086817	0.5586617155
68	0.5651125402	0.558179504
69	0.5624622812	0.5577587602
70	0.5636290646	0.5572062974
71	0.5654702226	0.5561274905
72	0.5666266507	0.5556808743
73	0.569030969	0.5554300468
74	0.5688036749	0.5539003252
75	0.5696025564	0.5528913005
76	0.5698301698	0.5525385997
77	0.5702875399	0.5522543257
78	0.569030969	0.5511566269
79	0.5689172992	0.5509400272
80	0.5686900958	0.5505778864
81	0.5685765622	0.5493276874
82	0.5705179283	0.5476798697
83	0.57199761	0.5474061675
84	0.5722244329	0.5471515586
85	0.5724522293	0.5468696297
86	0.5722244329	0.5459560635
87	0.5757395275	0.5455717917
88	0.579009901	0.54430844
89	0.5794577479	0.5439140609
90	0.5804665876	0.5436685227
91	0.5803518482	0.5433280085
92	0.5820335637	0.5430491836
93	0.5821484992	0.5428021806
94	0.5852697913	0.5423563601
95	0.5848275862	0.5421261535
96	0.5853850699	0.5418096735
97	0.585500394	0.5414578474
98	0.5841545132	0.5411288808
99	0.584384858	0.5403920269
100	0.5871704054	0.5402286808
101	0.5870764381	0.5400539245
102	0.5871921182	0.5398179547
103	0.5878644602	0.5395253117
104	0.5883047844	0.5391636938
105	0.5873078439	0.5389565853
106	0.5878644602	0.5385815173
107	0.5880961766	0.5383480091
108	0.5902026362	0.5380501912
109	0.5907571288	0.5376511361
110	0.5927379784	0.5372499661
111	0.5930871956	0.537020782
112	0.5931737936	0.5367949584
113	0.5948275862	0.5363385352
114	0.5936090963	0.5362708502
115	0.5936090963	0.5360567985
116	0.5946263973	0.5357592909
117	0.5943932562	0.5355152548
118	0.5939584151	0.5353054674
119	0.5950607605	0.5348687191
120	0.5964774951	0.5342691538
121	0.5974584555	0.5338715365
122	0.5969098377	0.5336217318
123	0.5966764418	0.5329325427
124	0.5950283813	0.5326832897
125	0.5950283813	0.5324532122
126	0.5969098377	0.5322015471
127	0.5976921572	0.5319713914
128	0.5978898007	0.5317190942
129	0.5994146341	0.5315055941
130	0.599297698	0.5313654604
131	0.5986341463	0.5310455825
132	0.6005069214	0.5306820057
133	0.600195122	0.5303600331
134	0.6017147311	0.5300730255
135	0.6000780336	0.5298683739
136	0.6014040562	0.5295742975
137	0.6007411742	0.529377545
138	0.6010524264	0.5290693167
139	0.6023767777	0.5288855784
140	0.604008562	0.5286985294
141	0.6050943029	0.5284921427
142	0.6044340723	0.5282076191
143	0.6052119798	0.5280178991
144	0.6056365403	0.5278946392
145	0.6059429015	0.527255926
146	0.6064841778	0.5270819868
147	0.6074476338	0.5269093033
148	0.608409223	0.5266157233
149	0.6078697422	0.526459609
150	0.6076341794	0.5263383715
151	0.6091331269	0.5261031747
