iter	Passed	Remaining
0	9	9978
1	17	8646
2	24	8065
3	31	7934
4	38	7650
5	47	7876
6	56	8050
7	70	8766
8	80	8860
9	93	9255
10	99	8980
11	105	8692
12	112	8536
13	118	8325
14	125	8232
15	131	8080
16	137	7930
17	145	7915
18	151	7797
19	160	7887
20	168	7837
21	175	7812
22	181	7711
23	188	7668
24	194	7589
25	200	7514
26	207	7474
27	213	7406
28	219	7345
29	225	7297
30	232	7257
31	239	7259
32	245	7204
33	251	7149
34	257	7108
35	263	7062
36	269	7016
37	273	6914
38	279	6876
39	285	6850
40	291	6817
41	297	6785
42	303	6757
43	309	6733
44	315	6698
45	322	6695
46	329	6686
47	336	6665
48	342	6639
49	347	6609
50	358	6676
51	364	6648
52	371	6645
53	379	6643
54	385	6626
55	391	6600
56	397	6574
57	404	6576
58	410	6549
59	418	6562
60	424	6536
61	432	6549
62	438	6529
63	445	6510
64	452	6506
65	458	6481
66	463	6461
67	471	6457
68	477	6439
69	484	6439
70	490	6419
71	497	6416
72	509	6466
73	519	6503
74	532	6563
75	541	6579
76	551	6612
77	562	6649
78	574	6703
79	587	6751
80	598	6788
81	608	6809
82	617	6822
83	628	6853
84	638	6873
85	650	6909
86	659	6919
87	669	6940
88	678	6948
89	688	6965
90	699	6986
91	709	6998
92	720	7024
93	731	7048
94	741	7066
95	754	7101
96	763	7106
97	774	7126
98	783	7135
99	795	7156
100	804	7164
101	817	7199
102	827	7209
103	837	7213
104	847	7227
105	857	7231
106	866	7233
107	876	7241
108	886	7243
109	897	7260
110	907	7266
111	917	7276
112	928	7289
113	938	7296
114	946	7287
115	959	7315
116	970	7326
117	982	7341
118	993	7352
119	1004	7364
120	1016	7381
121	1027	7392
122	1037	7400
123	1050	7418
124	1064	7450
125	1082	7511
126	1101	7573
127	1111	7574
128	1117	7547
129	1125	7529
130	1132	7511
131	1140	7496
132	1146	7472
133	1152	7446
134	1159	7427
135	1166	7413
136	1173	7394
137	1179	7370
138	1186	7348
139	1192	7323
140	1198	7303
141	1205	7281
142	1211	7258
143	1217	7237
144	1223	7217
145	1230	7197
146	1236	7176
147	1242	7154
148	1248	7132
149	1254	7110
150	1260	7089
151	1266	7068
152	1274	7055
153	1280	7034
154	1286	7013
155	1293	6995
156	1301	6985
157	1307	6969
158	1313	6947
159	1319	6927
160	1325	6909
161	1331	6890
162	1339	6877
163	1345	6856
164	1351	6837
165	1357	6817
166	1365	6809
167	1372	6799
168	1378	6779
169	1384	6760
170	1390	6740
171	1397	6725
172	1405	6716
173	1410	6697
174	1417	6681
175	1423	6664
176	1430	6652
177	1437	6640
178	1445	6630
179	1451	6613
180	1457	6595
181	1463	6578
182	1470	6563
183	1475	6545
184	1482	6529
185	1487	6511
186	1495	6500
187	1502	6489
188	1508	6473
189	1514	6456
190	1520	6439
191	1527	6428
192	1534	6417
193	1541	6405
194	1547	6388
195	1553	6372
196	1560	6361
197	1567	6350
198	1573	6335
199	1579	6318
200	1585	6302
201	1592	6291
202	1597	6273
203	1603	6258
204	1609	6242
205	1615	6228
206	1623	6218
207	1630	6207
208	1636	6191
209	1641	6176
210	1648	6164
211	1655	6152
212	1661	6138
213	1667	6124
